iter	Passed	Remaining
0	3	716635
1	5	597179
2	8	599687
3	11	599219
4	14	568237
5	16	547759
6	18	535095
7	21	526805
8	23	522059
9	26	525241
10	28	523499
11	31	519916
12	33	516317
13	35	512105
14	38	507992
15	40	506729
16	42	504843
17	46	513078
18	48	515644
19	51	514418
20	53	512784
21	56	511458
22	58	511828
23	61	512468
24	64	514417
25	67	516035
26	69	516421
27	72	514829
28	74	516508
29	78	520797
30	81	522650
31	83	522190
32	86	521885
33	88	520432
34	91	524587
35	95	531850
36	99	536394
37	102	538319
38	105	540271
39	108	542802
40	111	543384
41	113	542431
42	116	541896
43	119	541537
44	122	543319
45	125	544442
46	128	546610
47	131	546627
48	134	547962
49	137	549526
50	143	561295
51	145	561158
52	148	561720
53	151	562403
54	154	563081
55	158	565486
56	161	565137
57	164	566081
58	166	565527
59	169	566282
60	172	566558
61	176	570525
62	180	573868
63	184	576644
64	188	580152
65	192	582482
66	196	586379
67	199	587161
68	203	588679
69	206	590082
70	209	589664
71	212	589139
72	214	588601
73	218	590866
74	222	594146
75	225	594444
76	228	594056
77	231	593960
78	234	594275
79	237	594070
80	241	595170
81	244	595158
82	247	595312
83	249	594658
84	252	594564
85	256	595193
86	259	595420
87	262	595589
88	265	595906
89	269	599402
90	275	604155
91	281	612412
92	286	615279
93	290	617710
94	293	618098
95	296	617778
96	300	618540
97	304	620115
98	307	620427
99	310	621484
100	313	621450
101	317	622110
102	320	622280
103	323	622694
104	326	622364
105	330	622661
106	333	622922
107	336	623164
108	339	623203
109	342	623140
110	346	623351
111	349	623639
112	352	624053
113	355	623914
114	358	623410
115	361	622678
116	364	622726
117	367	622586
118	370	623096
119	373	622390
120	376	622153
121	379	621938
122	383	622611
123	387	624162
124	390	624160
125	394	625135
126	397	625702
127	401	626234
128	405	627619
129	408	628150
130	411	628551
131	415	628608
132	418	629267
133	421	629001
134	424	629153
135	428	629061
136	431	629663
137	435	631258
138	439	631262
139	442	631369
140	445	631776
141	448	631766
142	452	633110
143	456	633258
144	459	633386
145	463	634717
146	467	636239
147	475	641724
148	480	643924
149	485	647284
150	490	648644
151	524	689119
152	532	695984
153	542	704243
154	551	711585
155	556	712731
156	559	712545
157	563	712141
158	567	712863
159	570	712907
160	574	713117
161	578	713820
162	582	714383
163	587	715765
164	595	720790
165	612	737711
166	617	738595
167	620	738392
168	625	739531
169	629	740084
170	633	740256
171	637	740855
172	641	740937
173	646	742727
174	650	743207
175	654	742833
176	657	742489
177	661	742727
178	665	743109
179	669	743147
180	672	742730
181	676	742527
182	680	743285
183	684	743778
184	688	743445
185	691	743263
186	695	743600
187	700	744361
188	703	744123
189	707	743510
190	711	744234
191	715	744674
192	719	744601
193	722	743999
194	726	744731
195	731	746173
196	735	746356
197	739	746724
198	745	748547
199	749	748720
200	752	748352
201	756	748396
202	761	749152
203	765	749837
204	769	749905
205	773	750086
206	781	754219
207	785	754596
208	789	754380
209	792	754370
210	796	754498
211	800	753933
212	803	753894
213	806	753359
214	810	753250
215	813	752803
216	817	753072
217	821	752552
218	824	752391
219	828	751917
220	831	751821
221	835	751526
222	838	751260
223	841	750943
224	845	750747
225	849	750789
226	853	751128
227	859	752943
228	864	754505
229	868	754266
230	871	754102
231	876	754636
232	880	754910
233	883	754640
234	887	754622
235	900	762137
236	909	766468
237	918	771216
238	930	778044
239	949	790485
240	958	794654
241	978	807765
242	998	820845
243	1007	825190
244	1014	827056
245	1018	827162
246	1023	827795
247	1027	827535
248	1030	826937
249	1034	826697
250	1038	826578
251	1042	826153
252	1047	827299
253	1051	826831
254	1055	826820
255	1059	826862
256	1063	826743
257	1068	826983
258	1072	827092
259	1077	827887
260	1083	828959
261	1087	829433
262	1091	829245
263	1097	830052
264	1101	830158
265	1105	830435
266	1109	830090
267	1113	829999
268	1117	829440
269	1121	829414
270	1124	829033
271	1128	828539
272	1132	828295
273	1135	827710
274	1141	829382
275	1146	829635
276	1150	829454
277	1154	829674
278	1158	829638
279	1162	829366
280	1166	829138
281	1171	829493
282	1175	829511
283	1179	829396
284	1197	839337
285	1205	841851
286	1213	844627
287	1222	847478
288	1238	855597
289	1241	855119
290	1245	854948
291	1249	854477
292	1252	853885
293	1256	853454
294	1264	855846
295	1269	856725
296	1273	856493
297	1277	856143
298	1282	856547
299	1294	861840
300	1301	863520
301	1305	863437
302	1309	863043
303	1313	862510
304	1316	862123
305	1320	861597
306	1324	861789
307	1328	861285
308	1332	861010
309	1335	860236
310	1338	859645
311	1342	859165
312	1345	858653
313	1348	857883
314	1352	857285
315	1355	856792
316	1359	856636
317	1364	856952
318	1369	857360
319	1375	858076
320	1381	859113
321	1385	859483
322	1389	859078
323	1392	858470
324	1396	857914
325	1400	857550
326	1405	858273
327	1410	858360
328	1415	859089
329	1419	859066
330	1426	860298
331	1430	860426
332	1437	861650
333	1441	861892
334	1445	861821
335	1450	861866
336	1454	861649
337	1458	861471
338	1461	861004
339	1465	860725
340	1469	860184
341	1473	860077
342	1476	859628
343	1480	859306
344	1484	859199
345	1488	859100
346	1493	859167
347	1497	858878
348	1501	858895
349	1505	859060
350	1509	858466
351	1513	858261
352	1518	858622
353	1523	859414
354	1527	859307
355	1532	859660
356	1539	860970
357	1543	860895
358	1549	861522
359	1554	862244
360	1559	862217
361	1563	862145
362	1568	862349
363	1572	862501
364	1579	863718
365	1582	863148
366	1586	863126
367	1590	863056
368	1595	863122
369	1599	863017
370	1605	863786
371	1610	864338
372	1614	864223
373	1624	867060
374	1627	866588
375	1631	866320
376	1636	866679
377	1640	866351
378	1644	866106
379	1648	865732
380	1652	865795
381	1657	865941
382	1661	866197
383	1665	866010
384	1670	865899
385	1673	865497
386	1677	865304
387	1681	864831
388	1684	864631
389	1688	864087
390	1691	863688
391	1695	863231
392	1699	863097
393	1702	862682
394	1706	862312
395	1709	861819
396	1713	861594
397	1718	861652
398	1721	861264
399	1725	860969
400	1728	860414
401	1733	860666
402	1738	860795
403	1741	860505
404	1746	860692
